date,spread_return,test_year,selected_horizon,selected_direction
2018-05-14,0.005064423501401304,2018,10,reversal
2018-05-15,-0.000670217902524228,2018,10,reversal
2018-05-16,-0.00254791032968128,2018,10,reversal
2018-05-17,0.004340847508711432,2018,10,reversal
2018-05-18,0.0014758519848579784,2018,10,reversal
2018-05-21,-0.0010452711481855116,2018,10,reversal
2018-05-22,0.013670402841289996,2018,10,reversal
2018-05-23,-0.004655585872274725,2018,10,reversal
2018-05-24,-0.008322221621415016,2018,10,reversal
2018-05-25,-0.017702784240065626,2018,10,reversal
2018-05-29,0.0033747348855289305,2018,10,reversal
2018-05-30,-0.0009188691977838111,2018,10,reversal
2018-05-31,-0.002319734238599958,2018,10,reversal
2018-06-01,-0.008230692092041036,2018,10,reversal
2018-06-04,-0.004556496005378818,2018,10,reversal
2018-06-05,0.0060878133647374825,2018,10,reversal
2018-06-06,0.016886753520642693,2018,10,reversal
2018-06-07,-0.00017447345915262442,2018,10,reversal
2018-06-08,-0.005873434480062589,2018,10,reversal
2018-06-11,-0.005107513200728641,2018,10,reversal
2018-06-12,-0.00789400118611605,2018,10,reversal
2018-06-13,-0.004632245185967132,2018,10,reversal
2018-06-14,-0.010744909944280668,2018,10,reversal
2018-06-15,0.0005831460838249592,2018,10,reversal
2018-06-18,-0.007267470551635758,2018,10,reversal
2018-06-19,0.001493443670533967,2018,10,reversal
2018-06-20,-0.00031411994869748935,2018,10,reversal
2018-06-21,0.013145147471636753,2018,10,reversal
2018-06-22,0.008252421048747372,2018,10,reversal
2018-06-25,0.00570103289996352,2018,10,reversal
2018-06-26,-0.00570102012068453,2018,10,reversal
2018-06-27,0.012166968860503126,2018,10,reversal
2018-06-28,-0.0004967844061706363,2018,10,reversal
2018-06-29,0.008688117503734816,2018,10,reversal
2018-07-02,-0.006845912251872333,2018,10,reversal
2018-07-03,0.003025993740613419,2018,10,reversal
2018-07-05,0.0014939301384824018,2018,10,reversal
2018-07-06,0.020158967160119456,2018,10,reversal
2018-07-09,-0.0004558471621735503,2018,10,reversal
2018-07-10,0.0002649925508954043,2018,10,reversal
2018-07-11,-0.009168072974940355,2018,10,reversal
2018-07-12,-0.0018325085005599705,2018,10,reversal
2018-07-13,0.019006556664325592,2018,10,reversal
2018-07-16,0.0005108546025848204,2018,10,reversal
2018-07-17,0.00907836444956408,2018,10,reversal
2018-07-18,0.006039516093666708,2018,10,reversal
2018-07-19,-0.004142085933573592,2018,10,reversal
2018-07-20,2.4059649634888738e-05,2018,10,reversal
2018-07-23,0.008271392588839688,2018,10,reversal
2018-07-24,-0.004162807053665717,2018,10,reversal
2018-07-25,0.03449260831887753,2018,10,reversal
2018-07-26,-0.009540817484886898,2018,10,reversal
2018-07-27,-0.020867011201119903,2018,10,reversal
2018-07-30,0.009867627113122569,2018,10,reversal
2018-07-31,0.010613661525776497,2018,10,reversal
2018-08-01,0.006088120196654257,2018,10,reversal
2018-08-02,-0.002658283579996723,2018,10,reversal
2018-08-03,0.0024534024192654274,2018,10,reversal
2018-08-06,0.014255822229386782,2018,10,reversal
2018-08-07,0.0026825782303218416,2018,10,reversal
2018-08-08,0.007605201590650578,2018,10,reversal
2018-08-09,-0.0032335939586901285,2018,10,reversal
2018-08-10,-0.011195988146432056,2018,10,reversal
2018-08-13,-0.00652358787363273,2018,10,reversal
2018-08-14,-0.0004096903805420934,2018,10,reversal
2018-08-15,-0.004939112547597336,2018,10,reversal
2018-08-16,-0.003202007036272747,2018,10,reversal
2018-08-17,0.004535669131582521,2018,10,reversal
2018-08-20,0.01721450825342681,2018,10,reversal
2018-08-21,0.0022847765558192345,2018,10,reversal
2018-08-22,-0.0031312833096238555,2018,10,reversal
2018-08-23,-0.003438719418562785,2018,10,reversal
2018-08-24,0.009698759343792817,2018,10,reversal
2018-08-27,-0.004667745654617727,2018,10,reversal
2018-08-28,0.0074821135798132325,2018,10,reversal
2018-08-29,-0.0027088979023854763,2018,10,reversal
2018-08-30,-0.004133971345863574,2018,10,reversal
2018-08-31,-0.019793255684496882,2018,10,reversal
2018-09-04,0.023539537595108795,2018,10,reversal
2018-09-05,0.004625169496077186,2018,10,reversal
2018-09-06,0.0015607829329558065,2018,10,reversal
2018-09-07,-0.013072092289029913,2018,10,reversal
2018-09-10,0.00023512750326137866,2018,10,reversal
2018-09-11,-0.006900446933773241,2018,10,reversal
2018-09-12,0.010913116334023486,2018,10,reversal
2018-09-13,-0.0004533415512096963,2018,10,reversal
2018-09-14,-0.0011582366992275214,2018,10,reversal
2018-09-17,-0.0005640111912689873,2018,10,reversal
2018-09-18,0.008685122147810021,2018,10,reversal
2018-09-19,0.00010174194267101831,2018,10,reversal
2018-09-20,-0.0035100453169213844,2018,10,reversal
2018-09-21,0.015666657768833348,2018,10,reversal
2018-09-24,0.0030668919961374334,2018,10,reversal
2018-09-25,0.0038449463350987536,2018,10,reversal
2018-09-26,-0.0006684512387809206,2018,10,reversal
2018-09-27,-0.0007279291046607302,2018,10,reversal
2018-09-28,0.009138470714281678,2018,10,reversal
2018-10-01,0.006124109330907856,2018,10,reversal
2018-10-02,-0.00204749732064482,2018,10,reversal
2018-10-03,0.004074928602324824,2018,10,reversal
2018-10-04,0.0014429377994925165,2018,10,reversal
2018-10-05,0.0009514971725650967,2018,10,reversal
2018-10-08,-0.0029542675141477903,2018,10,reversal
2018-10-09,-0.014935065898712498,2018,10,reversal
2018-10-10,0.019088359024793847,2018,10,reversal
2018-10-11,0.009108361476678704,2018,10,reversal
2018-10-12,0.007685311020799202,2018,10,reversal
2018-10-15,0.006860480041895746,2018,10,reversal
2018-10-16,-0.012148361713103194,2018,10,reversal
2018-10-17,0.0020254230496856377,2018,10,reversal
2018-10-18,-0.0016910595705872389,2018,10,reversal
2018-10-19,-0.0038753013334290477,2018,10,reversal
2018-10-22,-0.008795142848082993,2018,10,reversal
2018-10-23,0.0005449485034770135,2018,10,reversal
2018-10-24,0.00342041869254903,2018,10,reversal
2018-10-25,0.005263553932514785,2018,10,reversal
2018-10-26,-0.015937522167960516,2018,10,reversal
2018-10-29,0.010160068195119765,2018,10,reversal
2018-10-30,0.019425162747034975,2018,10,reversal
2018-10-31,0.028861423166649847,2018,10,reversal
2018-11-01,0.0005951691194565514,2018,10,reversal
2018-11-02,-0.0023363159267007607,2018,10,reversal
2018-11-05,0.005843517175073253,2018,10,reversal
2018-11-06,0.017160116429133107,2018,10,reversal
2018-11-07,-0.024100884571643756,2018,10,reversal
2018-11-08,-0.01761770594719868,2018,10,reversal
2018-11-09,-0.029308210889245925,2018,10,reversal
2018-11-12,0.014491264212959754,2018,10,reversal
2018-11-13,-0.007616961409385058,2018,10,reversal
2018-11-14,0.0093326959551568,2018,10,reversal
2018-11-15,-0.034576873050327264,2018,10,reversal
2018-11-16,-0.030606982427671917,2018,10,reversal
2018-11-19,0.0014431154323070843,2018,10,reversal
2018-11-20,0.014192792917277252,2018,10,reversal
2018-11-21,-0.008002014631524945,2018,10,reversal
2018-11-23,0.0028836088976797354,2018,10,reversal
2018-11-26,0.0037419515270141206,2018,10,reversal
2018-11-27,0.010352976801541635,2018,10,reversal
2018-11-28,-0.003393876867743584,2018,10,reversal
2018-11-29,-9.918953441295786e-05,2018,10,reversal
2018-11-30,0.020367763679919704,2018,10,reversal
2018-12-03,0.013725601737432952,2018,10,reversal
2018-12-04,-0.022608672029027055,2018,10,reversal
2018-12-06,0.011782620356221171,2018,10,reversal
2018-12-07,-0.016431390437091298,2018,10,reversal
2018-12-10,-0.008774638614181995,2018,10,reversal
2018-12-11,-0.0031943630980436613,2018,10,reversal
2018-12-12,-0.0058703292359003735,2018,10,reversal
2018-12-13,0.008803253421115553,2018,10,reversal
2018-12-14,0.012622017471410264,2018,10,reversal
2018-12-17,-0.011139675596770914,2018,10,reversal
2018-12-18,0.012193330509843692,2018,10,reversal
2018-12-19,0.0019984848284266155,2018,10,reversal
2018-12-20,0.012158663208985242,2018,10,reversal
2018-12-21,-0.0012511762903713378,2018,10,reversal
2018-12-24,-0.025166069201261347,2018,10,reversal
2018-12-26,-0.007190679881782836,2018,10,reversal
2018-12-27,-0.000321615227794092,2018,10,reversal
2018-12-28,-0.002854309456620229,2018,10,reversal
2018-12-31,0.012828553191478142,2018,10,reversal
2019-01-02,-0.008613368197277604,2019,1,reversal
2019-01-03,-0.002906236188455112,2019,1,reversal
2019-01-04,-0.0034367092427434395,2019,1,reversal
2019-01-07,0.0029715744656734887,2019,1,reversal
2019-01-08,0.011204607646792375,2019,1,reversal
2019-01-09,-0.0035650271664744992,2019,1,reversal
2019-01-10,0.005581520299548781,2019,1,reversal
2019-01-11,-0.004095572610207376,2019,1,reversal
2019-01-14,-0.00047480265238161214,2019,1,reversal
2019-01-15,0.0012684389136666478,2019,1,reversal
2019-01-16,0.00527739563683427,2019,1,reversal
2019-01-17,0.00799272438832792,2019,1,reversal
2019-01-18,-0.0066447485015099575,2019,1,reversal
2019-01-22,0.004887466129991536,2019,1,reversal
2019-01-23,0.015697560795769616,2019,1,reversal
2019-01-24,-0.017842475717546824,2019,1,reversal
2019-01-25,0.014538621772704553,2019,1,reversal
2019-01-28,-0.009793705116541852,2019,1,reversal
2019-01-29,0.03160894818463711,2019,1,reversal
2019-01-30,-0.02073119214526199,2019,1,reversal
2019-01-31,0.005824841296816352,2019,1,reversal
2019-02-01,0.0045095161140943025,2019,1,reversal
2019-02-04,-0.005002675523822653,2019,1,reversal
2019-02-05,0.0029507739114139064,2019,1,reversal
2019-02-06,0.008826973554615637,2019,1,reversal
2019-02-07,0.00504150109704109,2019,1,reversal
2019-02-08,-0.0031389013991340417,2019,1,reversal
2019-02-11,0.0072033662928603585,2019,1,reversal
2019-02-12,-0.002435504816338363,2019,1,reversal
2019-02-13,0.005746985699988872,2019,1,reversal
